micros,ax,ay,az
0,17172,440,-1980
999,17168,412,-1972
2000,17044,456,-1872
3001,17164,456,-1860
4000,17236,456,-1856
4999,17212,468,-2036
6001,17228,428,-1956
6999,17156,404,-2000
8001,17116,368,-2064
9000,17132,424,-1976
10001,17188,432,-1928
11000,17236,384,-1924
12001,17232,448,-1920
13001,17196,476,-2032
14001,17188,444,-1896
15000,17208,404,-1932
16001,17188,424,-1908
17000,17232,452,-2092
17999,17196,340,-1936
19000,17252,440,-1864
20001,17180,432,-2008
21000,17200,440,-1940
22001,17276,364,-1876
23001,17180,436,-2016
24000,17188,412,-1988
25001,17196,476,-1896
26000,17168,536,-2012
27001,17192,412,-2064
28000,17140,316,-2092
29001,17192,444,-1916
30000,17200,460,-1940
31001,17208,472,-1900
32000,17264,436,-1964
33000,17232,572,-1908
34001,17328,504,-1944
34999,17332,432,-1888
36000,17224,436,-1988
37001,17124,428,-2028
38000,17148,416,-2016
38999,17228,468,-2044
40001,17252,448,-1952
41000,17288,472,-1992
42000,17236,472,-2060
43001,17320,376,-2044
44000,17376,400,-2056
45000,17280,516,-1984
46001,17300,492,-1976
47000,17272,524,-1932
48001,17356,576,-1856
49001,17284,508,-1984
50000,17344,476,-1808
51001,17388,468,-1916
52000,17376,464,-1820
53001,17424,508,-1912
54000,17360,580,-1932
55001,17352,496,-1896
56000,17324,432,-1956
57001,17248,388,-2008
58000,17316,372,-2104
58999,17364,492,-1992
60001,17292,412,-1888
61000,17344,488,-2048
62001,17364,476,-2128
63000,17408,404,-2088
64001,17392,304,-2048
65000,17320,348,-2080
65999,17420,472,-1968
67000,17468,512,-2024
68000,17488,420,-2060
69000,17432,476,-1920
69999,17408,540,-1944
71000,17520,512,-1960
72001,17492,472,-1972
73000,17416,484,-1876
74001,17432,424,-1812
75001,17412,356,-2044
76000,17480,468,-2008
77001,17580,508,-1896
78000,17448,456,-1960
79001,17504,452,-1900
80000,17560,404,-1892
81001,17456,424,-2084
82000,17476,400,-2008
83001,17468,280,-2024
84001,17536,364,-1888
85000,17532,328,-1948
85999,17448,384,-1876
87000,17320,368,-1980
88000,17448,412,-1992
88999,17524,408,-2056
90000,17480,372,-1916
91000,17504,360,-1884
91999,17496,472,-1988
92999,17552,484,-2084
94001,17436,456,-2144
95001,17428,480,-2092
96000,17548,516,-2028
96999,17604,424,-1972
98000,17620,296,-1896
99000,17556,348,-2060
99999,17572,412,-2024
100999,17540,528,-2112
102000,17548,440,-2072
102999,17524,384,-1996
104000,17564,376,-1992
105000,17560,468,-1964
105999,17496,400,-2052
106999,17464,472,-1944
108001,17456,476,-1768
109001,17552,508,-1780
110001,17584,496,-1920
111000,17556,332,-1908
112001,17480,352,-2032
113000,17536,368,-1968
114000,17516,408,-2004
115000,17536,464,-1804
116000,17576,476,-1888
116999,17504,512,-1940
118000,17496,540,-1836
119000,17448,528,-1900
120001,17472,576,-2024
121001,17472,476,-1896
122001,17408,556,-1976
123000,17480,456,-2124
124001,17580,412,-2156
125001,17564,424,-2044
126001,17580,400,-2076
127000,17520,524,-1996
128000,17572,480,-1988
128999,17556,500,-1960
130000,17536,488,-2016
131000,17612,484,-1916
131999,17532,424,-1952
132999,17480,408,-2024
134001,17596,456,-1988
135001,17624,564,-1996
136001,17588,512,-2168
137000,17532,524,-2120
138001,17548,512,-2060
139001,17528,428,-2032
140000,17552,440,-2108
141001,17448,544,-2104
142001,17436,524,-2092
143000,17520,500,-2072
144001,17540,460,-2012
145001,17528,360,-1844
146000,17524,460,-1992
147001,17448,540,-2096
148000,17488,444,-2176
148999,17520,400,-1968
150000,17508,416,-2088
151000,17424,504,-2252
151999,17432,396,-2092
152999,17328,400,-2068
154001,17456,448,-1964
155001,17416,572,-2076
156001,17496,500,-2132
157000,17432,384,-2004
158001,17508,364,-1992
159001,17372,400,-1956
