micros,ax,ay,az
0,17424,520,-2072
999,17376,476,-2076
2000,17356,524,-2036
3000,17412,516,-2064
3999,17432,520,-2152
5000,17436,484,-2100
6000,17464,448,-2012
7000,17416,464,-2004
8000,17376,484,-1988
9000,17472,444,-2088
10000,17484,404,-2248
11001,17432,452,-2060
12000,17428,436,-2048
13001,17380,404,-2132
14000,17428,428,-2056
14999,17444,396,-1964
16000,17444,452,-2044
17000,17376,460,-1924
18000,17484,420,-1992
19000,17448,536,-2088
20001,17372,596,-2092
21000,17352,476,-2064
22001,17372,500,-2056
23000,17420,500,-2112
24000,17428,492,-2108
24999,17492,488,-2100
26000,17472,452,-2024
27000,17384,456,-1944
28000,17392,476,-2040
28999,17400,488,-2152
30000,17472,560,-1904
30999,17408,496,-2036
32000,17408,468,-1872
33000,17376,520,-1872
34000,17336,464,-1892
35000,17364,496,-1936
36001,17344,500,-2064
37000,17368,560,-1888
37999,17448,420,-2072
39000,17372,436,-2056
40000,17352,456,-2012
41000,17312,472,-2028
42001,17356,444,-1964
43000,17352,396,-1992
44001,17372,460,-2044
45000,17404,528,-2048
45999,17368,416,-1904
47000,17424,516,-1944
47999,17440,560,-2072
49000,17416,480,-1984
50000,17440,524,-2104
50999,17296,456,-2056
52001,17268,500,-1860
53000,17436,472,-1908
54000,17480,508,-2084
55000,17512,456,-2136
56000,17456,500,-1988
57000,17424,472,-1944
58000,17460,516,-2012
59000,17396,456,-2052
60001,17444,432,-1908
61000,17392,452,-1952
61999,17392,448,-2100
63000,17448,432,-2136
63999,17464,488,-2100
65000,17380,468,-1904
66000,17424,448,-2008
67000,17400,448,-2140
68000,17360,520,-2080
69000,17428,540,-2140
70000,17480,528,-2132
71000,17476,576,-2052
72000,17500,616,-1924
73001,17380,504,-1976
74000,17380,444,-1988
74999,17360,376,-2072
76000,17292,472,-2060
77000,17296,508,-2128
78000,17336,492,-2052
78999,17360,496,-2112
80001,17352,512,-2008
81000,17340,520,-1976
82000,17340,492,-1988
83000,17336,408,-2060
84001,17360,508,-2000
85000,17432,520,-2176
86000,17364,492,-2196
87000,17304,484,-2240
88000,17368,516,-2164
89000,17400,536,-1992
90001,17412,520,-2080
91000,17432,512,-2104
92000,17376,496,-2108
93000,17300,484,-2076
94000,17388,488,-2004
95000,17348,468,-1932
96001,17336,424,-2044
97000,17404,548,-2072
98000,17348,452,-2148
99000,17328,452,-2076
100000,17412,376,-2188
101000,17444,508,-2220
102001,17372,556,-2216
103000,17452,528,-2004
104000,17468,464,-1908
105000,17396,520,-2004
106000,17368,504,-2116
107000,17364,436,-1988
108001,17448,512,-2024
109000,17464,468,-2044
110000,17416,436,-2072
111000,17412,496,-2200
112000,17472,620,-2008
113000,17384,520,-2000
114001,17444,496,-2004
115000,17408,524,-2036
116000,17428,528,-2028
117000,17376,480,-1956
118000,17244,512,-1988
119000,17288,508,-2008
120001,17380,520,-1980
121000,17376,484,-1972
122000,17380,444,-2080
123000,17320,444,-1984
124000,17340,492,-2020
125000,17400,548,-2052
126000,17460,508,-2036
126999,17344,468,-2016
128000,17384,516,-2004
129000,17312,556,-2076
129999,17372,476,-2008
131000,17432,456,-1936
132000,17400,504,-1916
132999,17324,500,-2044
134000,17316,412,-2012
135000,17332,456,-2120
136001,17360,508,-2028
137000,17392,564,-1880
138000,17436,448,-1868
139000,17408,416,-1904
140000,17388,372,-1988
141000,17440,460,-2032
142001,17476,552,-2068
143000,17476,480,-2076
144000,17436,476,-2028
145000,17400,520,-2060
146000,17388,488,-1920
147000,17308,412,-1892
148001,17412,528,-2104
149000,17352,496,-2164
150000,17460,528,-2156
151000,17436,548,-1928
152000,17456,484,-1976
153000,17432,464,-2132
154001,17340,468,-2120
155000,17308,532,-1984
156000,17404,512,-1888
157000,17400,472,-2024
158000,17316,516,-1972
159000,17348,536,-2072
160001,17348,604,-2052
161000,17384,548,-2096
162000,17424,448,-2020
163000,17472,512,-2048
164000,17364,468,-2024
165000,17384,388,-1996
166001,17388,496,-2196
167000,17380,424,-2016
168000,17456,440,-2040
169000,17428,440,-2040
169999,17368,464,-2036
171000,17408,468,-1944
172000,17440,472,-2032
172999,17312,432,-1980
174000,17384,476,-2232
175000,17400,608,-2160
176001,17432,488,-2060
177000,17376,404,-2116
178000,17344,480,-2124
179000,17352,504,-1960
180000,17372,444,-2104
181000,17372,364,-2120
182001,17476,364,-2008
183000,17428,408,-1976
184000,17428,436,-2040
