micros,ax,ay,az
0,-31364,-16,636
1000,-32768,-352,200
2000,-22484,-560,620
3000,-2716,-576,1264
4000,4920,-300,1916
5000,-6640,32,1676
6000,-26564,92,784
6999,-32768,-284,340
8000,-27856,-544,360
9000,-7856,-556,996
10000,4776,-288,1636
10999,-1656,-24,1712
12000,-20932,68,1180
13000,-32768,-116,492
14000,-32432,-424,324
15000,-13844,-508,860
16000,2896,-420,1492
17000,2160,-144,1724
18000,-15112,128,1364
19000,-32768,-68,568
20000,-32768,-384,316
21000,-19832,-512,592
22000,-516,-352,1280
23000,4564,-156,1752
24000,-9108,108,1628
25000,-28852,76,996
26000,-32768,-304,360
27000,-25584,-548,448
28000,-5384,-556,1008
29000,5220,-304,1696
30000,-3748,-20,1748
31000,-23588,144,984
32000,-30464,-548,444
33000,-11072,-620,940
34000,4024,-372,1728
35000,552,-52,1864
36000,-17792,76,1420
37000,-32768,-152,568
38000,-32768,-388,292
39000,-17048,-576,748
40000,1152,-468,1412
41000,3572,-124,1688
42000,-11856,96,1428
42999,-30992,-8,640
44000,-32768,-244,328
45000,-22788,-480,480
46000,-2992,-508,1100
47000,5056,-204,1696
48000,-6200,140,1604
49000,-26144,80,968
50000,-32768,-236,384
51000,-28312,-492,432
52000,-8316,-604,976
53000,4768,-336,1632
54000,-1304,-4,1664
55000,-20428,84,1276
56000,-32768,-120,444
57000,-32536,-460,252
58000,-14192,-616,904
59000,2648,-428,1500
60000,2360,-128,1820
61000,-14436,108,1520
62000,-32768,8,612
63000,-32768,-364,196
64000,-20328,-576,692
65000,-968,-536,1348
66000,4672,-212,1816
67000,-8604,80,1652
68000,-28516,168,940
69000,-32768,-212,400
70000,-25936,-572,484
71000,-5812,-540,1192
72000,5144,-312,1848
73000,-3400,20,1744
74000,-23204,144,1100
75000,-32768,-92,380
76000,-30808,-428,340
77000,-11532,-576,904
78000,3960,-312,1740
79000,788,-108,1828
80000,-17392,92,1300
81000,-32768,-32,544
82000,-32768,-404,224
83000,-17548,-572,692
84000,904,-516,1440
85000,3888,-100,1828
86000,-11308,132,1388
87000,-30668,36,680
88000,-32768,-332,244
89000,-23396,-472,348
90000,-3472,-416,1240
91000,5136,-220,1792
92000,-5668,84,1692
93000,-25716,44,968
94000,-32768,-272,420
95000,-28656,-520,476
96000,-8808,-592,1072
97000,4648,-324,1636
98000,-968,-40,1828
99000,-19976,128,1248
100000,-32768,-180,452
101000,-32768,-572,160
102000,-14648,-688,692
103000,2528,-532,1512
104000,2668,-160,1836
105000,-14068,80,1564
106000,-32452,32,680
107000,-32768,-404,268
108000,-20760,-612,680
109000,-1220,-552,1292
110000,4748,-208,1836
111000,-8304,140,1516
112000,-28044,80,916
113000,-32768,-312,428
114000,-26208,-576,360
115000,-6116,-552,1120
116000,5080,-284,1856
117000,-3088,-20,1920
118000,-22704,108,1248
119000,-32768,-104,420
120000,-31096,-456,364
121000,-11988,-680,884
122000,3664,-436,1532
123000,1236,-88,1732
124000,-16836,152,1248
125000,-32768,-132,556
126000,-32768,-432,304
127000,-18020,-652,728
128000,576,-420,1508
129000,4004,-92,1840
130000,-10860,148,1556
131000,-30180,96,700
132000,-32768,-284,248
133000,-23876,-628,552
134000,-3920,-536,1108
135000,5084,-236,1680
136000,-5176,32,1640
137000,-25188,56,1100
138000,-32768,-224,448
139000,-29100,-596,284
140000,-9364,-576,884
141000,4532,-368,1752
142000,-520,-24,1872
143000,-19416,92,1192
144000,-32768,-140,516
145000,-32768,-484,184
146000,-15192,-628,732
147000,2296,-448,1628
148000,2916,-116,1904
