micros,ax,ay,az
0,840,15496,1832
1000,468,-1740,1896
2000,-24,-2520,1788
3000,-196,13740,1628
4000,172,32112,1596
5000,636,32767,1884
6000,940,21464,1840
7000,740,2020,1844
8000,200,-4488,1632
9000,-168,7956,1644
10000,-36,27712,1512
11000,544,32767,1640
12000,904,27048,1828
13000,892,7220,1912
14000,384,-4528,1644
15000,-60,2888,1536
16000,16,22300,1568
17000,436,32767,1552
18000,880,31608,1668
19000,960,12768,1720
20000,536,-2980,1796
21000,40,-1004,1624
22000,-160,16428,1444
23000,368,32767,1512
24000,860,32767,1740
25000,1080,18932,2016
26000,732,284,1952
27000,160,-3688,1720
28000,-112,10560,1652
29000,108,29840,1576
30000,536,32767,1668
31000,964,24500,1800
32000,824,4592,1880
33000,320,-4812,1872
34000,-76,5120,1616
35000,-104,24888,1532
36000,304,32767,1560
37000,760,29664,1640
38000,728,10196,1712
39000,424,-3960,1732
40000,0,544,1700
41000,-144,19144,1516
42000,240,32767,1528
43000,764,32767,1736
44000,884,16040,1988
45000,552,-1612,1832
46000,44,-2716,1668
47000,-116,13268,1668
48000,128,31868,1576
49000,672,32767,1784
50000,876,22036,1840
51000,704,2524,1900
52000,164,-4508,1772
53000,-168,7524,1528
54000,24,27320,1528
55000,492,32767,1592
56000,976,27452,1796
57000,796,7664,1792
58000,388,-4496,1716
59000,-24,2540,1668
60000,-164,21828,1592
61000,296,32767,1716
62000,880,31856,1796
63000,924,13264,1776
64000,468,-2880,1680
65000,-4,-1488,1568
66000,-80,15908,1584
67000,196,32767,1492
68000,660,32767,1768
69000,924,19336,1896
70000,660,432,1836
71000,84,-3944,1800
72000,-176,10096,1584
73000,88,29496,1580
74000,480,32767,1872
75000,852,24972,1912
76000,784,5020,1908
77000,256,-4936,1776
78000,-116,4664,1612
79000,20,24504,1436
80000,440,32767,1628
81000,804,30136,1828
82000,800,10612,1836
83000,332,-3860,1684
84000,-60,260,1600
85000,-212,18700,1528
86000,228,32767,1572
87000,824,32767,1608
88000,976,16580,1908
89000,644,-1308,1880
90000,-24,-3084,1580
91000,-188,12636,1556
92000,100,31552,1536
93000,620,32767,1564
94000,972,22440,1784
95000,596,2728,1920
96000,88,-4728,1684
97000,-192,7040,1620
98000,44,27012,1564
99000,532,32767,1568
100000,888,27908,1748
101000,816,7952,1840
102000,356,-4624,1720
103000,-96,2116,1564
104000,-4,21404,1592
105000,292,32767,1656
106000,728,32216,1744
107000,884,13776,1844
108000,472,-2660,1892
109000,-52,-1760,1856
110000,-196,15424,1668
111000,284,32767,1636
112000,696,32767,1716
113000,1012,19764,1808
114000,764,760,1880
115000,144,-4092,1732
116000,-124,9684,1560
117000,48,29216,1508
118000,472,32767,1748
119000,896,25504,1804
120000,832,5540,1740
121000,276,-4808,1700
122000,-184,4284,1640
123000,-64,24064,1544
124000,416,32767,1560
125000,892,30404,1748
126000,932,11016,1884
127000,464,-3784,1824
128000,-88,-168,1640
129000,-108,18228,1472
130000,228,32767,1496
131000,720,32767,1588
132000,956,16988,1716
133000,596,-1104,1692
134000,-32,-3212,1716
135000,-200,12260,1448
136000,96,31184,1484
137000,468,32767,1776
138000,828,22892,1780
139000,712,3068,1840
140000,172,-4772,1704
141000,-148,6580,1528
142000,-52,26472,1636
143000,496,32767,1684
144000,836,28312,1680
145000,840,8436,1788
146000,360,-4440,1732
147000,-120,1684,1624
148000,-112,20964,1496
149000,196,32767,1664
150000,828,32616,1916
151000,852,14272,1916
152000,488,-2544,1852
153000,-24,-2096,1704
154000,-220,14972,1616
155000,116,32767,1660
156000,640,32767,1628
157000,960,20200,1872
158000,724,1132,1808
159000,76,-4180,1660
160000,-188,9232,1544
161000,136,28800,1624
162000,608,32767,1808
163000,1012,25876,1800
164000,864,5900,1936
165000,328,-4784,1760
166000,-136,3880,1704
167000,-20,23604,1644
168000,344,32767,1808
169000,812,30648,1740
170000,840,11480,1892
171000,484,-3600,1804
172000,-68,-536,1656
173000,-164,17648,1580
174000,180,32767,1648
175000,712,32767,1676
176000,880,17564,1816
177000,624,-796,1776
178000,88,-3512,1724
179000,-176,11864,1704
180000,112,30932,1800
181000,560,32767,1792
182000,900,23452,1688
183000,752,3632,1796
184000,256,-4764,1680
185000,-128,6224,1564
186000,8,26056,1508
187000,448,32767,1628
188000,816,28760,1776
189000,892,8920,1992
190000,444,-4500,1808
191000,-108,1368,1564
192000,-124,20480,1544
193000,368,32767,1640
194000,764,32767,1760
195000,904,14688,1912
196000,616,-2340,1916
197000,-60,-2312,1688
198000,-192,14524,1716
199000,108,32767,1556
200000,640,32767,1688
201000,928,20760,1748
202000,680,1416,1760
203000,104,-4308,1668
204000,-164,8772,1616
205000,56,28572,1524
206000,512,32767,1688
207000,940,26244,1808
208000,796,6176,1820
209000,292,-4904,1696
210000,-128,3420,1552
211000,-12,23064,1520
212000,404,32767,1564
213000,856,31068,1548
214000,884,12000,1788
215000,512,-3448,1724
216000,40,-788,1692
217000,-72,17080,1520
218000,176,32767,1600
219000,704,32767,1740
220000,940,18068,1712
221000,592,-448,1832
222000,8,-3660,1536
223000,-180,11212,1460
224000,56,30568,1496
225000,592,32767,1688
226000,792,23764,1836
227000,764,3876,1888
228000,260,-4844,1800
229000,-124,5724,1600
230000,-84,25652,1512
231000,356,32767,1652
232000,888,29056,1732
233000,836,9340,1868
234000,488,-4368,1688
235000,-52,956,1628
236000,-128,19996,1568
237000,296,32767,1732
238000,812,32767,1704
239000,860,15292,1808
240000,616,-2056,1788
241000,-4,-2512,1584
242000,-180,14028,1380
243000,160,32600,1596
244000,776,32767,1760
245000,944,21088,1792
246000,592,1644,1900
247000,148,-4524,1776
248000,-200,8296,1540
249000,-4,28064,1416
250000,532,32767,1600
251000,932,26708,1708
252000,856,6672,1820
253000,316,-4768,1796
254000,-164,3164,1696
255000,-36,22712,1544
256000,408,32767,1608
257000,856,31344,1804
258000,856,12428,1920
259000,532,-3172,1936
260000,-4,-976,1848
261000,-80,16736,1708
262000,168,32767,1676
263000,764,32767,1676
264000,900,18392,1904
265000,648,-40,1920
266000,116,-3692,1720
267000,-116,10892,1688
268000,172,30144,1604
269000,592,32767,1684
270000,920,24316,1744
271000,688,4516,1888
272000,228,-4708,1748
273000,-116,5432,1608
274000,40,25220,1644
275000,444,32767,1672
276000,796,29440,1788
277000,820,9796,1892
278000,488,-4196,1720
279000,100,704,1604
280000,-68,19548,1528
281000,224,32767,1636
282000,728,32767,1784
283000,936,15664,1908
284000,636,-1732,1876
285000,12,-2644,1732
286000,-120,13612,1644
287000,116,32196,1564
288000,572,32767,1696
289000,836,21500,1736
290000,580,2092,1824
291000,148,-4440,1664
292000,-132,7956,1632
293000,-20,27668,1564
294000,460,32767,1632
295000,860,27008,1780
296000,836,7152,1772
297000,364,-4512,1808
298000,20,2940,1764
299000,-48,22232,1524
300000,304,32767,1636
301000,884,31552,1648
302000,928,12944,1712
303000,468,-2844,1708
304000,-48,-1112,1620
305000,-208,16368,1676
306000,124,32767,1536
307000,660,32767,1584
308000,944,18880,1692
309000,580,380,1836
310000,124,-3636,1572
311000,-76,10568,1332
312000,112,29796,1420
313000,628,32767,1584
314000,872,24500,1772
315000,764,4744,1860
316000,272,-4704,1700
317000,-100,5076,1572
318000,72,24676,1556
319000,476,32767,1544
320000,912,29720,1704
321000,796,10388,1848
322000,336,-3840,1756
323000,-36,528,1620
324000,-152,18988,1584
325000,296,32767,1500
326000,784,32767,1652
327000,932,16028,1712
328000,540,-1392,1544
329000,120,-2624,1512
330000,-172,13208,1476
331000,108,31620,1408
332000,676,32767,1584
333000,888,21908,1824
334000,688,2572,1956
335000,172,-4364,1872
336000,-116,7584,1600
337000,60,27200,1568
338000,504,32767,1692
339000,860,27328,1780
340000,788,7612,1868
341000,324,-4276,1928
342000,-136,2668,1808
343000,-64,21616,1660
344000,256,32767,1588
345000,768,31836,1808
346000,872,13416,1892
347000,520,-2576,1788
348000,44,-1212,1720
349000,-128,15880,1704
350000,184,32767,1744
351000,732,32767,1820
352000,936,19296,1888
353000,680,804,1896
354000,192,-3636,1660
355000,-148,10164,1544
356000,120,29300,1516
357000,516,32767,1736
358000,840,25016,1824
359000,736,5336,1952
360000,356,-4520,1796
361000,-120,4628,1712
362000,-96,24128,1628
363000,400,32767,1672
364000,812,29996,1648
365000,884,10808,1708
366000,496,-3712,1796
367000,24,228,1780
368000,-116,18540,1496
369000,276,32767,1496
370000,736,32767,1612
371000,888,16688,1936
372000,656,-1028,1904
373000,136,-2944,1488
374000,-116,12668,1572
375000,128,31348,1616
376000,568,32767,1704
377000,808,22508,1884
378000,620,2900,1984
379000,188,-4644,1720
380000,-104,6980,1680
381000,-44,26744,1612
382000,432,32767,1700
383000,948,27916,1940
384000,804,8092,1956
385000,336,-4464,1756
386000,-28,2084,1588
387000,-20,21192,1516
388000,348,32767,1572
389000,848,32248,1624
390000,952,13828,1816
391000,592,-2668,1756
392000,0,-1664,1732
393000,-152,15436,1576
394000,232,32767,1568
395000,708,32767,1828
396000,952,19864,1956
397000,636,876,1940
398000,72,-4024,1728
399000,-196,9576,1652
400000,32,29092,1608
401000,508,32767,1668
402000,908,25536,1788
403000,784,5508,1692
404000,320,-4780,1712
405000,-36,4268,1520
406000,76,23884,1556
407000,416,32767,1688
408000,792,30384,1724
409000,896,11136,1852
410000,448,-3636,1764
411000,-112,-172,1620
412000,-128,17976,1496
413000,224,32767,1628
414000,724,32767,1676
415000,884,17124,1940
416000,532,-860,1912
417000,32,-3224,1640
418000,-132,12188,1520
419000,148,31080,1592
420000,620,32767,1656
421000,920,23028,1736
422000,756,3304,1892
423000,244,-4668,1716
424000,-108,6596,1592
425000,-4,26424,1464
426000,476,32767,1572
427000,952,28224,1708
428000,884,8488,1848
429000,388,-4300,1804
430000,-48,1828,1544
431000,-144,20920,1552
432000,316,32767,1864
433000,864,32552,1808
434000,892,14312,1980
435000,540,-2368,1952
436000,-36,-1924,1628
437000,-188,14912,1512
438000,156,32767,1492
