micros,ax,ay,az
0,12924,-512,320
1000,13008,-408,344
2000,13088,-584,436
3000,13216,-496,440
4000,13352,-536,332
5000,13376,-500,324
6000,13508,-504,468
7000,13552,-580,596
8000,13684,-508,576
9000,13788,-500,580
10000,13952,-476,528
11000,14020,-472,404
12000,14132,-472,424
13000,14324,-528,564
14000,14396,-564,516
15000,14504,-496,400
16000,14652,-576,440
17000,14764,-524,528
18000,14904,-480,460
19000,15044,-596,552
20000,15048,-560,552
21000,15260,-488,608
22000,15376,-452,632
23000,15476,-572,608
24000,15624,-504,608
25000,15736,-420,760
26000,15956,-508,664
27000,16112,-532,632
28000,16164,-516,828
29000,16288,-508,760
30000,16436,-572,808
31000,16548,-552,952
32000,16720,-448,880
33000,16812,-456,780
34000,16880,-464,856
35000,17052,-480,904
36000,17136,-512,848
37000,17300,-560,920
38000,17456,-516,984
39000,17576,-528,836
40000,17604,-460,1000
41000,17728,-500,960
42000,17904,-448,1036
43000,18072,-380,960
44000,18228,-328,992
45000,18320,-380,1012
46000,18440,-424,1112
47000,18600,-420,1056
48000,18716,-420,1160
49000,18892,-388,1096
50000,19000,-288,1112
51000,19088,-372,1300
52000,19284,-444,1240
53000,19300,-452,1052
54000,19464,-316,1276
55000,19632,-308,1316
56000,19736,-328,1204
57000,19888,-216,1152
58000,19980,-284,1152
59000,20044,-336,1204
60000,20232,-296,1192
61000,20248,-284,1252
62000,20300,-272,1372
63000,20560,-204,1460
64000,20788,-276,1432
65000,20856,-332,1384
66000,20956,-220,1364
67000,21028,-192,1436
68000,21148,-232,1464
69000,21244,-100,1640
70000,21292,-68,1500
71000,21432,-136,1508
72000,21556,-160,1440
73000,21684,-72,1400
74000,21764,-148,1540
75000,21944,-212,1544
76000,22008,-80,1472
77000,22016,-96,1508
78000,21984,-80,1596
79000,22192,-64,1632
80000,22436,-12,1688
81000,22484,24,1620
82000,22436,120,1592
83000,22520,72,1732
84000,22600,152,1548
85000,22640,84,1648
86001,22740,0,1788
87000,22816,96,1672
88000,22908,164,1496
89000,22972,160,1552
90000,23064,232,1652
91000,23108,244,1592
92000,23192,232,1668
93000,23192,244,1720
94000,23336,212,1824
95000,23316,164,1684
96000,23372,312,1764
97000,23500,336,1744
98000,23504,272,1664
99000,23568,196,1728
100000,23776,276,1652
101000,23712,304,1812
102000,23800,360,1684
103000,23816,376,1704
104000,23876,412,1736
105000,23924,464,1820
106000,23912,516,1792
107000,23964,492,1804
108000,24060,420,1792
109000,23924,352,1632
110000,23928,392,1792
111000,23992,400,1756
112000,24036,392,1684
113000,24060,452,1736
114000,24092,512,1740
115000,24120,476,1788
116000,24112,592,1664
117000,24100,588,1700
118000,24004,640,1660
119000,24084,548,1840
120000,24120,536,1788
121000,24104,552,1820
122000,24120,640,1768
123000,24160,524,1856
124000,24224,520,1680
125000,24192,640,1672
126000,24036,636,1744
127000,24024,592,1724
128000,24004,604,1676
129000,24036,676,1620
130000,24092,660,1740
131000,23956,684,1668
132000,23956,680,1664
133000,23876,644,1820
134000,23832,620,1804
135000,23856,772,1640
136000,23796,692,1632
137000,23776,584,1784
138000,23676,652,1712
139000,23672,620,1604
140000,23644,620,1540
141000,23596,684,1612
142000,23564,588,1728
143000,23532,632,1548
144000,23456,596,1480
145000,23340,596,1600
146000,23260,564,1732
147000,23304,592,1664
148000,23132,588,1608
149000,23136,624,1484
150000,22976,604,1480
151000,23028,620,1464
152000,22976,556,1544
153000,22756,620,1524
154000,22740,528,1504
155000,22660,600,1540
156000,22596,596,1456
157001,22612,556,1472
158000,22484,608,1540
159000,22400,532,1496
160001,22344,520,1492
161000,22172,484,1440
162000,22108,556,1412
163000,21992,524,1348
164000,21828,576,1364
165000,21776,556,1352
166000,21644,516,1252
