micros,ax,ay,az
0,15872,3576,4264
1000,15836,3592,4300
2000,15880,3540,4200
3000,15900,3552,4188
4000,15920,3632,4208
5000,15752,3576,4196
5999,15624,3544,4244
6999,15604,3592,4084
7999,15632,3596,4064
8999,15760,3564,4216
10000,15744,3568,4240
11000,15752,3516,4136
12000,15680,3508,4008
13000,15624,3512,4100
13999,15620,3516,4092
15000,15616,3584,4088
16000,15608,3500,3988
17000,15592,3628,4004
18000,15588,3492,4180
19000,15552,3476,4084
19999,15552,3516,4080
21000,15560,3480,4000
22001,15640,3464,4016
23000,15624,3472,3928
23999,15512,3528,3908
24999,15488,3512,3864
26000,15376,3512,3812
27000,15308,3440,3928
28000,15420,3412,3888
29000,15484,3488,3892
30000,15420,3444,3840
31000,15340,3464,3872
31999,15328,3412,3768
32999,15468,3384,3676
33999,15364,3360,3776
34999,15332,3476,3980
36000,15380,3432,3932
37000,15360,3468,3772
38000,15292,3448,3788
39000,15312,3404,3752
40000,15260,3440,3740
41000,15132,3424,3624
42000,15184,3472,3600
43000,15280,3404,3544
44000,15256,3428,3624
44999,15240,3428,3740
46000,15196,3428,3572
46999,15196,3368,3444
47999,15288,3348,3496
49001,15160,3316,3656
49999,15092,3328,3632
50999,15204,3352,3600
52000,15236,3416,3624
53000,15176,3496,3608
53999,15080,3448,3536
54999,15080,3400,3480
56000,15088,3416,3448
57000,15036,3360,3484
58000,15020,3396,3396
58999,15032,3312,3340
59999,15016,3396,3304
60999,14996,3432,3232
62000,15116,3344,3276
63000,14948,3456,3328
64000,14892,3380,3392
65000,14872,3316,3440
66000,14936,3320,3396
66999,14952,3300,3304
67999,14932,3316,3296
69000,14956,3296,3200
70000,15048,3360,3152
71000,14924,3332,3144
71999,14848,3428,3252
73000,14904,3424,3224
74001,14932,3324,3236
75001,14980,3340,3204
75999,14972,3328,3044
76999,14960,3376,3052
78000,14928,3312,3084
79000,14844,3416,3076
80000,14784,3380,3068
80999,14868,3280,3152
81999,14984,3332,3148
83000,14896,3308,2988
84000,14928,3236,3012
84999,14940,3292,3088
86000,14896,3308,3036
87001,14992,3380,2976
87999,14964,3304,3028
89000,14936,3288,3044
90000,14984,3280,2900
90999,15032,3356,2960
92000,14940,3356,2956
93000,14856,3380,2856
93999,14896,3316,2888
95000,14912,3368,2984
96000,14956,3348,2908
96999,14928,3348,2856
98000,14944,3332,2768
99000,14948,3392,2904
99999,14972,3388,2904
101000,14944,3416,2872
102000,14928,3388,2788
102999,14992,3296,2744
104000,15020,3456,2636
105000,15032,3408,2724
105999,15116,3384,2756
107000,15020,3380,2848
108000,14932,3348,2760
108999,14992,3368,2672
110000,15084,3388,2704
111000,15036,3304,2636
111999,14976,3284,2676
113000,15108,3392,2632
114000,15120,3320,2652
114999,15088,3360,2604
116000,15048,3440,2704
117000,15048,3348,2656
117999,15136,3408,2596
118999,15108,3384,2572
120000,15176,3360,2512
121000,15264,3340,2476
121999,15240,3368,2520
122999,15168,3464,2616
124000,15136,3456,2548
125000,15088,3504,2556
126000,15112,3356,2500
126999,15196,3452,2568
128000,15240,3432,2536
129000,15268,3392,2496
129999,15268,3396,2424
131000,15320,3488,2396
132000,15292,3456,2428
132999,15336,3416,2568
134000,15352,3540,2428
135000,15392,3544,2364
135999,15400,3500,2544
137000,15444,3488,2448
138000,15416,3476,2468
138999,15432,3420,2456
140000,15420,3468,2552
141000,15516,3484,2508
141999,15440,3568,2448
143000,15488,3496,2412
144000,15472,3532,2492
144999,15552,3496,2392
146000,15616,3564,2420
147000,15580,3540,2440
147999,15592,3540,2408
149000,15660,3556,2268
150000,15608,3536,2292
150999,15728,3536,2352
152000,15728,3560,2240
153000,15712,3544,2268
153999,15752,3580,2276
155000,15788,3580,2288
156000,15772,3592,2308
156999,15800,3580,2264
158000,15868,3564,2392
159000,15936,3616,2364
159999,15892,3560,2224
161000,15844,3596,2368
162000,15952,3608,2344
162999,15912,3608,2196
164000,15944,3680,2176
165000,15924,3688,2276
165999,16012,3692,2320
167000,16032,3676,2112
168000,15992,3692,2228
169000,16072,3684,2152
170001,16112,3668,2132
170999,16216,3672,2184
172000,16292,3796,2076
173000,16300,3712,2148
173999,16208,3688,2072
175000,16248,3732,2096
176000,16216,3752,2124
176999,16256,3728,2072
177999,16352,3720,2040
179000,16420,3680,2064
180000,16388,3748,2100
181000,16492,3744,2152
182000,16516,3740,2244
183000,16508,3796,2068
184000,16584,3752,2084
185000,16568,3832,2012
185999,16636,3688,2124
187000,16628,3800,2012
188000,16596,3904,1944
188999,16736,3812,1984
189999,16716,3788,1964
191000,16692,3788,1940
192000,16640,3748,2004
193000,16728,3924,2072
194000,16788,3848,2100
195000,16756,3788,1936
196000,16792,3844,1816
197000,16808,3844,1900
198000,16872,3776,2008
199000,16892,3760,2096
200001,16856,3880,2028
200999,16920,3944,2012
202000,16936,3968,1964
203000,16948,3960,1920
203999,16956,3944,1836
205000,17064,3920,1788
206000,17028,3928,1880
206999,17140,3960,1908
208000,17152,3936,1912
209000,17144,4028,2060
210000,16996,3984,1976
210999,17148,3912,1756
212000,17244,3976,1860
213000,17164,3864,1864
213999,17256,3904,1772
215000,17292,3884,1836
216000,17424,3944,1888
217000,17448,4020,1744
217999,17400,4024,1752
219000,17400,4120,1816
220001,17360,4092,1724
220999,17388,4048,1704
222000,17460,4004,1772
223000,17428,4028,1736
223999,17544,4024,1720
225000,17476,3996,1708
226000,17596,3948,1644
226999,17568,4028,1812
228000,17520,4088,1620
229000,17584,4088,1688
229999,17672,4068,1656
231000,17652,4044,1576
232000,17608,4016,1512
232999,17592,4056,1648
234000,17640,4032,1696
235000,17700,4048,1720
235999,17768,4096,1764
236999,17844,4100,1512
238000,17644,4120,1528
239000,17632,4092,1456
240001,17788,4064,1444
240999,17832,4112,1576
242000,17764,4088,1572
243000,17768,4132,1584
244000,17872,4204,1600
245000,17888,4156,1520
246000,17872,4132,1528
247000,17876,4116,1384
248000,17752,4080,1408
248999,17788,4064,1308
250000,17984,4060,1324
251000,17912,4144,1536
252000,17896,4140,1436
252999,17864,3976,1364
254000,17880,4068,1344
255000,17992,4160,1356
256000,17988,4152,1420
257000,17932,4072,1488
258000,17944,4096,1396
259000,18116,4208,1360
260000,18080,4204,1304
261000,18084,4228,1448
262000,17936,4068,1460
263000,17964,4120,1392
264000,18028,4116,1460
264999,18100,4176,1252
266000,18108,4180,1048
267000,18044,4168,1188
268000,18004,4140,1188
269000,18008,4104,1136
270000,18000,4124,1188
271000,17940,4080,1220
271999,17988,4132,1248
272999,18024,4108,1264
274000,18008,4196,1128
275000,17988,4228,1064
276000,18016,4092,1040
276999,18064,4140,1132
277999,18040,4148,1156
279000,17944,4176,1180
280000,17888,4176,1044
281000,17956,4208,972
282000,18008,4180,1108
283000,17980,4180,1008
284000,18064,4200,940
285000,17980,4088,948
285999,18008,4144,984
286999,17960,4160,984
288000,17936,4188,992
289000,17852,4192,940
289999,17940,4112,996
290999,17936,4120,952
292000,17948,4052,968
293000,18040,4132,924
294000,18080,4160,944
295000,17968,4124,952
296000,17992,4132,912
297000,17944,4152,828
298000,17844,4116,868
299000,17872,4024,1020
299999,17832,4028,896
301000,17812,4068,712
302000,17824,4160,784
303000,17804,4088,844
303999,17876,4120,800
304999,17764,4176,840
306000,17792,4116,672
307000,17760,4072,636
307999,17760,4140,832
308999,17756,4100,648
310000,17724,4116,576
311000,17716,4096,752
