micros,ax,ay,az
0,2176,-1308,-14652
1000,3320,-1040,-9780
2002,2480,-608,-3496
3002,1792,-484,2548
4001,2740,-232,6700
5000,3788,84,8572
6000,3528,584,8616
7000,3668,408,7144
8000,4896,-404,5484
9000,5528,-1084,5236
10002,4156,-956,6304
11002,2980,-440,7324
12002,3396,-368,7024
13001,3776,-656,5296
14001,2644,-120,2688
15001,1176,432,-1188
16001,1148,284,-6696
17001,1288,-444,-12916
18001,440,-592,-18760
19002,-308,0,-23392
20002,428,-8,-25852
21001,1152,52,-25780
22001,-172,596,-23116
23001,-2044,404,-19684
24001,-1940,-628,-17484
25002,-824,-1332,-17220
26002,-1028,-680,-18080
27001,-1728,-492,-20024
28001,-1576,-1100,-22408
29001,-860,-1572,-24568
30000,-1276,-932,-25728
31000,-2476,140,-26792
32002,-2248,60,-27888
33002,-1404,-484,-28824
34001,-2324,-316,-29036
35000,-3976,100,-29772
36000,-4104,-184,-31836
37001,-3180,-1244,-32768
38000,-2748,-1132,-32768
39002,-3164,-96,-32768
40001,-2960,240,-32768
41001,-1976,-160,-32768
42002,-1856,-376,-32344
43001,-2360,72,-26844
44001,-1824,-360,-21816
45002,-596,-2184,-16992
46001,-48,-3396,-12644
47002,-196,-2424,-9088
48001,384,-336,-7580
49001,1760,380,-7408
50002,2524,-16,-7316
51000,2264,544,-6268
52000,2172,1532,-4384
53002,2772,896,-2292
54002,2740,-696,-972
55001,2124,-1420,-444
56001,2144,-872,-1316
57001,2840,-672,-3180
58001,3092,-708,-4596
59002,2512,264,-5540
60002,2228,1316,-6208
61001,3108,1220,-6176
62001,3920,-56,-4932
63000,3552,-976,-2564
64000,3124,-1128,804
65002,3432,-1264,3908
66001,3456,-1676,5932
67001,3064,-1100,6528
68001,2828,-24,5400
69001,3336,500,3100
70001,3560,-176,336
71002,2668,-588,-1932
72002,1628,-248,-4292
73001,1560,-188,-7108
74001,1488,-676,-10320
75001,900,-568,-13580
76001,140,1116,-16860
77002,-496,2236,-20224
78001,-1076,948,-23520
79000,-1824,-652,-26540
80000,-2196,-852,-29472
81000,-1788,-396,-31856
82002,-1340,-1484,-32768
83002,-1784,-2708,-32604
84000,-2444,-2052,-30832
85002,-2380,-676,-28648
86002,-2156,-32,-26836
87001,-1944,-252,-25776
88001,-1796,540,-25348
89002,-1736,1096,-25152
90002,-1764,200,-25212
91000,-2040,-928,-25344
92000,-2048,-1244,-25804
93001,-1776,-844,-26952
94002,-1212,-884,-27880
95001,-1328,-804,-27860
96002,-1704,312,-27244
97002,-1940,884,-26480
98000,-1764,604,-26112
99000,-1324,-356,-26100
100002,-848,-888,-25532
101002,-552,-1488,-23920
102001,-532,-2876,-21072
103001,-156,-3996,-17516
104002,376,-2764,-13916
105002,1432,-132,-10776
106001,2540,1328,-7816
107001,3072,1196,-4564
108002,2796,1360,-844
109002,2728,1752,2528
110000,2996,1000,4748
111000,3448,-676,5092
112002,4028,-1980,4532
113002,4172,-1660,3912
114000,3756,-928,3432
115000,3372,-384,2876
116001,3108,264,1764
117000,3028,768,-436
118000,3360,756,-2552
119001,3388,-244,-4320
120002,3028,-1508,-5064
121002,2416,-1716,-4968
122000,2000,-1492,-5308
123001,1980,-1228,-6092
124002,2368,-940,-6892
125002,2536,180,-7512
126000,2336,1196,-7376
127000,1888,996,-6948
128001,1564,744,-6740
129001,1376,940,-7596
130000,1052,892,-9076
131000,752,-276,-10832
132002,320,-1508,-12420
133002,-324,-1016,-14492
134001,-872,-160,-17252
135001,-1228,-536,-21204
136002,-1228,-1464,-25780
137000,-1408,-1276,-29460
138000,-1972,-352,-32040
139002,-2584,-288,-32768
140002,-2876,-672,-32768
141002,-3000,-652,-32768
142000,-2940,-208,-32768
143000,-2716,-204,-32768
144001,-2404,-544,-32768
145000,-2228,-496,-31624
146001,-2388,-320,-29424
147002,-2340,-252,-27548
148002,-1552,-292,-26004
149001,-856,-292,-24088
150001,-828,52,-21872
151002,-828,116,-19368
152002,-676,-292,-17156
153001,-532,-668,-16052
154002,-380,-888,-15852
155002,-100,-960,-16312
156001,316,-1320,-17140
157001,576,-1236,-17344
158002,392,-840,-16928
159002,84,-788,-16280
160000,364,-1320,-15480
161000,1136,-1432,-13948
162001,1744,-300,-12008
163002,2068,856,-9520
164002,2236,632,-6624
165000,2476,-200,-3796
166001,2768,12,-1204
167001,3120,584,1148
168000,3600,320,2608
169001,4184,-628,3984
170000,4284,-968,5448
171000,3652,-704,6700
172001,3432,-548,7060
173002,3556,-752,6452
174002,3556,-776,4624
175000,3136,-224,2072
176000,2900,-68,-736
177002,2500,-552,-3952
178002,2020,-976,-7172
179001,1464,-640,-10384
180001,1280,-464,-13404
181001,1384,-256,-15364
182002,1320,800,-16468
183002,216,1704,-16336
184000,-600,624,-15652
185000,-508,-676,-15192
186002,-324,-716,-15752
187002,-228,-72,-16840
188001,-352,-896,-17968
189001,-512,-1664,-19252
190002,-552,-1080,-19992
191002,-1052,52,-20344
192000,-1728,216,-21384
193000,-1468,-188,-22764
194002,-1440,-244,-24464
195002,-2084,-220,-25984
196001,-2848,-652,-27744
197001,-2976,-1312,-29920
198002,-2976,-1532,-32628
199002,-2888,-1072,-32768
200000,-2740,-440,-32768
201000,-2544,244,-32768
202001,-2388,752,-32768
203000,-2664,872,-32424
204000,-2864,492,-29080
205001,-2060,-120,-26428
206002,-1140,-748,-23716
207002,-880,-1224,-20880
208001,-756,-1208,-18072
209001,-236,-716,-15688
210001,324,-492,-13868
211001,532,-308,-12344
212002,792,-176,-11132
213002,1256,-400,-9460
214001,1348,-1056,-7704
215002,1268,-1820,-6072
216002,1008,-1904,-5336
217000,1480,-1268,-5912
218000,2212,-248,-7412
219001,2324,432,-8704
220000,2136,572,-8916
221000,2148,628,-8380
222001,2436,328,-7296
223002,2740,-392,-5844
224001,2644,-884,-3984
225001,2940,-940,-1744
226002,3248,-724,756
227002,2960,-408,2744
228000,2540,28,3808
229000,2692,332,3376
230001,3308,-228,1652
231002,3436,-860,116
232002,2828,-1032,-1148
233001,2236,-1048,-2176
234001,1900,-1096,-3684
235002,1408,-960,-5516
236002,908,-240,-8272
237001,868,756,-11476
238001,924,1636,-14796
239002,-280,1148,-17740
240002,-1424,-672,-20272
241001,-1500,-1348,-22840
242001,-1244,-448,-25428
243002,-1136,248,-27000
244002,-1460,-680,-27312
245001,-1976,-852,-26620
246001,-1912,408,-25140
247002,-2196,412,-23860
248002,-2756,-520,-23636
249001,-2200,-924,-24584
250001,-1448,-452,-25692
251002,-1708,-840,-26392
252002,-2548,-1628,-26448
253002,-2688,-1196,-26552
254000,-2260,-552,-27116
255001,-2084,-244,-27764
256002,-2276,-404,-28060
257000,-2384,128,-27888
258000,-2116,512,-27340
259001,-2328,-204,-27240
260002,-2612,-468,-27472
261002,-2064,-280,-28124
262001,-1088,32,-27988
263001,-788,-244,-26408
264002,-1084,-344,-23192
265002,-1120,328,-19176
266000,-432,12,-15476
267000,288,-996,-12404
268001,448,-1760,-9844
269000,852,-1916,-7368
270000,1792,-1440,-5312
271001,2120,-1024,-4084
272001,2024,-248,-3472
273000,2240,56,-3508
274000,2908,-88,-3416
275002,3144,-96,-2604
276002,2604,-324,-1304
277001,2096,-436,-260
278001,2344,-724,-320
279002,2768,-892,-1500
280002,2560,-232,-3208
281001,2384,272,-4804
282001,2484,476,-6032
283002,2456,328,-6632
284002,2128,192,-6580
285000,1916,168,-6136
286000,2196,-532,-5720
287001,2324,-1064,-5092
288000,1804,-940,-4176
289001,1224,-540,-3756
290002,1164,-420,-4752
291002,1380,-820,-7148
292001,1028,-640,-9880
293001,680,-468,-12380
294001,664,-492,-14692
295002,520,256,-16424
296002,-700,464,-17652
297000,-1656,-348,-18748
298001,-1868,-992,-20492
299002,-1532,-476,-22972
300002,-1668,620,-25528
