micros,ax,ay,az
0,2088,-432,-32768
1000,1984,-468,-20892
2000,1356,-212,-1192
3000,572,-140,5924
4000,596,-204,-6060
5000,1136,-456,-25892
6000,2140,-496,-32768
7000,2004,-496,-26116
8000,1692,-328,-6328
9000,544,-152,5952
10000,532,-208,-1132
11000,752,-332,-20412
12000,1992,-500,-32768
13000,2128,-464,-30580
14000,1932,-456,-12208
15000,820,-152,4276
16000,472,-332,2764
17000,592,-236,-14468
18000,1648,-520,-32288
19000,2188,-448,-32768
20000,2048,-564,-18132
21000,1204,-128,920
22000,504,-248,5216
23000,588,-240,-8580
24001,1320,-424,-28056
25000,2256,-408,-32768
26001,2000,-588,-23792
27000,1556,-220,-3884
28000,528,-168,6148
29000,600,-212,-3272
30000,952,-420,-22904
31000,2104,-524,-32768
32000,1988,-448,-28812
33000,1712,-420,-9408
34000,552,-152,5316
35000,436,-280,1016
36000,708,-304,-17300
37000,1896,-532,-32768
38000,2148,-440,-32492
39000,1840,-472,-15372
40000,904,-88,2712
41000,452,-192,4308
42000,656,-220,-11252
43000,1516,-536,-30060
44000,2124,-392,-32768
45000,1960,-416,-21336
46000,1284,-92,-1588
47000,528,-128,5924
48000,632,-160,-5672
49000,1060,-396,-25364
50001,2064,-488,-32768
51000,2040,-404,-26536
52001,1684,-264,-6784
53000,564,-128,5804
54000,504,-204,-776
55000,732,-340,-19904
56000,1996,-504,-32768
57000,2096,-424,-30976
58000,1920,-428,-12624
59000,900,-132,4064
60000,492,-316,2908
61000,636,-292,-13908
62000,1680,-504,-31808
63000,2160,-352,-32768
64000,1884,-404,-18560
65000,1080,-104,672
66000,496,-296,5468
67000,672,-296,-8212
68000,1316,-576,-27868
69000,2180,-556,-32768
70000,2052,-452,-24228
71000,1560,-284,-4388
72000,500,-256,6104
73000,600,-144,-2932
74000,996,-400,-22504
75000,2068,-472,-32768
76001,2016,-408,-29036
77000,1756,-336,-9928
78001,568,-140,5168
79000,448,-212,1524
80000,756,-188,-16560
81000,1912,-388,-32768
82000,2048,-392,-32728
83000,1924,-472,-15876
84001,1160,-124,2376
85000,532,-268,4476
86000,752,-184,-10768
87000,1484,-492,-29908
88000,2140,-428,-32768
89000,2044,-492,-21652
90000,1368,-136,-1820
91000,440,-140,6104
92000,648,-228,-5072
93000,1176,-452,-25124
94000,2192,-472,-32768
95000,2056,-440,-27080
96000,1652,-352,-7224
97000,620,-172,5804
98000,636,-268,-520
99000,868,-364,-19256
100000,2040,-592,-32768
101000,2112,-460,-31300
102000,1900,-432,-13116
103000,884,-168,3860
104000,532,-300,3320
105000,708,-224,-13508
106000,1688,-492,-31592
107000,2180,-416,-32768
108000,2052,-532,-18988
109000,1248,-164,308
110000,368,-204,5632
111000,560,-284,-7820
112000,1240,-512,-27568
113000,2220,-332,-32768
114000,1908,-424,-24556
115000,1524,-228,-4660
116000,568,-148,6116
117000,636,-252,-2528
118000,952,-344,-22040
119000,2156,-396,-32768
120000,2068,-444,-29368
121000,1840,-316,-10248
122000,692,-76,4964
123000,488,-232,1760
124000,696,-292,-16092
125000,1828,-480,-32768
126001,2112,-388,-32768
127000,1840,-508,-16308
128000,952,-180,2032
129000,508,-244,4676
130000,624,-348,-10240
131000,1436,-620,-29548
132000,2216,-460,-32768
133000,1952,-460,-22056
134000,1376,-228,-2288
135000,432,-236,6136
136000,632,-264,-4848
137000,1064,-416,-24812
138000,2280,-556,-32768
139000,2056,-484,-27400
140000,1732,-328,-7692
141000,596,-236,5676
142000,604,-300,0
143000,764,-376,-18980
144000,1920,-476,-32768
145000,2096,-368,-31504
146000,1868,-360,-13612
