micros,ax,ay,az
0,17420,136,-1388
1000,17456,96,-1328
2000,17516,92,-1296
3000,17380,116,-1308
4001,17364,228,-1400
5001,17408,88,-1304
6000,17400,44,-1428
7001,17368,120,-1424
8001,17268,204,-1392
9001,17368,84,-1320
10001,17432,160,-1300
11001,17432,124,-1420
12001,17332,88,-1332
13000,17352,152,-1204
14000,17372,188,-1236
15001,17488,224,-1184
16000,17552,228,-1204
17001,17412,184,-1412
18000,17336,88,-1364
19001,17404,132,-1300
20000,17428,68,-1328
21002,17460,124,-1408
22001,17456,144,-1528
23001,17384,120,-1496
24001,17412,116,-1424
25000,17364,104,-1524
26000,17416,28,-1424
27000,17400,64,-1460
28000,17440,104,-1440
29000,17476,92,-1420
30001,17416,88,-1272
31001,17380,188,-1368
32001,17356,124,-1424
33000,17452,184,-1372
34000,17396,220,-1364
35001,17412,192,-1308
36001,17444,120,-1312
37000,17420,188,-1376
38001,17472,140,-1416
39001,17436,136,-1376
40001,17416,164,-1508
41001,17472,84,-1448
42001,17308,148,-1336
43001,17288,120,-1344
44001,17416,172,-1368
45001,17424,188,-1460
46001,17344,176,-1344
47002,17472,96,-1348
48001,17448,56,-1312
49001,17492,124,-1400
50001,17432,120,-1452
51001,17420,108,-1260
52001,17356,120,-1328
53001,17384,156,-1456
54001,17448,136,-1400
55000,17484,80,-1364
56001,17484,108,-1512
57000,17496,124,-1432
58001,17388,112,-1288
59000,17452,12,-1428
60001,17456,120,-1440
61001,17400,160,-1492
62001,17436,128,-1460
63001,17400,36,-1416
64001,17432,28,-1448
65000,17356,44,-1500
66000,17520,104,-1464
67001,17460,224,-1372
68000,17424,156,-1384
69001,17408,76,-1372
70001,17440,48,-1376
71001,17380,56,-1376
72000,17336,188,-1484
73000,17404,160,-1324
74000,17372,212,-1424
75000,17264,124,-1516
76001,17384,128,-1412
77000,17484,76,-1328
78001,17416,32,-1472
79001,17380,152,-1484
80001,17436,100,-1420
81001,17388,76,-1408
82001,17368,108,-1408
83001,17448,72,-1388
84001,17376,136,-1356
85000,17400,196,-1412
86000,17432,80,-1372
87001,17496,120,-1312
88001,17488,116,-1368
89000,17452,84,-1352
90001,17416,36,-1400
91001,17348,32,-1400
92001,17436,200,-1404
93000,17360,224,-1332
94001,17456,92,-1428
95001,17428,140,-1552
96000,17364,112,-1536
97000,17408,120,-1344
98001,17456,156,-1304
99001,17472,196,-1372
100001,17392,180,-1400
101001,17344,160,-1296
102001,17340,84,-1392
103000,17408,100,-1476
104000,17372,192,-1300
105001,17384,168,-1284
106001,17440,92,-1452
107000,17372,132,-1480
108000,17392,120,-1460
109001,17424,148,-1460
110001,17400,84,-1372
111000,17364,100,-1324
112001,17368,132,-1428
113001,17412,160,-1496
114001,17536,96,-1424
115001,17408,100,-1508
116001,17464,196,-1360
117001,17464,124,-1428
118000,17512,76,-1288
119001,17456,140,-1364
120001,17424,108,-1408
121001,17464,140,-1428
122001,17492,192,-1296
123001,17508,156,-1576
124000,17484,124,-1440
125000,17444,144,-1436
126001,17392,104,-1352
127001,17480,136,-1320
128001,17360,212,-1320
129000,17276,168,-1380
130001,17356,100,-1440
131001,17292,132,-1404
132000,17336,156,-1308
133001,17360,160,-1240
134001,17480,136,-1428
135000,17480,84,-1380
136001,17384,112,-1468
137001,17376,148,-1488
138000,17336,80,-1380
139001,17364,92,-1424
140001,17368,184,-1320
141000,17432,144,-1360
142001,17424,116,-1320
143001,17456,160,-1348
144000,17396,160,-1420
145001,17344,168,-1432
146001,17448,208,-1404
147001,17364,232,-1320
148001,17324,124,-1428
149001,17400,112,-1364
150000,17436,108,-1376
151000,17464,140,-1304
152001,17452,144,-1312
153001,17512,160,-1344
154001,17432,160,-1428
155001,17352,188,-1440
156001,17456,144,-1468
157001,17460,212,-1508
158000,17408,188,-1272
159000,17380,76,-1176
160001,17360,136,-1328
161001,17348,132,-1532
162001,17412,156,-1432
