micros,ax,ay,az
0,17792,864,132
1000,17852,780,24
2000,17796,804,124
2999,17736,912,184
4000,17748,852,152
5000,17800,920,140
6000,17844,1028,4
7000,17872,1020,4
7999,17872,1020,4
8999,17856,904,100
10001,17860,860,196
11000,17844,844,-40
11999,17856,924,-88
12999,17944,940,68
13999,17900,836,64
14999,17984,936,24
16001,17928,856,80
17000,18024,880,44
17999,18008,940,52
18999,17952,916,52
19999,17980,864,76
21001,17900,868,116
22000,17916,932,120
23001,18004,868,48
24000,18000,808,8
25000,18108,944,84
25999,18064,940,76
27000,17976,964,48
28000,18016,928,-28
29000,18072,972,-80
30000,18040,944,8
31000,18008,940,52
32000,18076,868,-40
33000,17960,920,-8
34000,18068,944,-160
35000,18076,868,-164
36000,17908,972,-208
36999,18064,948,-104
37999,18080,1008,-104
38999,18144,920,-136
39999,18116,948,-72
40999,18036,912,-128
42000,18064,920,-156
43000,18104,956,-64
44000,18164,892,-56
44999,18128,916,-44
45999,18104,956,-88
46999,18180,1052,-80
48000,18120,1028,-36
48999,18212,964,-56
50000,18192,920,-160
51000,18140,964,-180
52000,18180,896,-228
53000,18132,928,-212
54000,18200,956,-204
54999,18208,848,-32
56000,18312,876,-100
57000,18300,864,-108
58000,18132,900,-280
59000,18132,940,-228
60000,18160,832,-48
61000,18164,884,8
62000,18176,896,-180
63000,18200,840,-104
63999,18220,948,-60
64999,18248,1016,-32
65999,18196,988,-100
66999,18232,952,-244
68000,18256,936,-244
69000,18248,968,-160
70000,18204,924,-232
70999,18176,896,-244
71999,18268,956,-224
72999,18292,944,-240
74000,18252,868,-160
74999,18292,848,-160
76000,18264,844,-120
77000,18248,932,-96
78000,18256,964,-204
79000,18276,976,-316
80000,18188,956,-120
80999,18176,976,-264
82000,18188,956,-328
83000,18176,948,-220
84000,18240,836,-248
85000,18280,844,-156
86000,18216,936,-256
86999,18204,888,-200
88000,18152,924,-260
89000,18040,920,-200
90000,18116,924,-388
90999,18188,992,-316
92000,18164,976,-264
93000,18244,924,-248
93999,18224,820,-360
95000,18184,900,-284
96000,18228,948,-296
97000,18200,900,-308
97999,18128,900,-196
99000,18112,892,-112
100000,18064,944,-320
100999,18088,912,-460
102000,18152,948,-268
103000,18156,956,-376
103999,18048,904,-352
105000,18148,884,-268
106000,18116,872,-432
106999,18100,896,-356
108000,18152,896,-344
109000,18156,968,-372
109999,18112,932,-428
111000,18072,868,-384
112000,18076,900,-304
112999,18116,908,-284
114000,18236,816,-336
115000,18192,744,-388
115999,18116,796,-216
117000,18156,932,-264
118000,18096,924,-316
118999,18088,904,-364
120000,18040,960,-396
121000,18032,848,-460
121999,18140,948,-320
123000,18104,944,-384
124000,18036,908,-412
124999,18160,944,-340
126000,18080,916,-260
127000,18068,900,-368
127999,18064,944,-352
129000,18084,972,-284
130000,18072,944,-328
130999,18000,852,-360
132000,17932,876,-308
133000,18032,888,-388
134000,17984,896,-420
134999,18092,972,-404
136000,18048,960,-404
137000,18036,960,-324
137999,18000,924,-280
139000,17952,888,-360
140000,17944,904,-340
140999,17916,944,-276
142000,18060,916,-288
143000,18016,900,-432
143999,17972,832,-208
145000,17944,884,-328
146000,17916,884,-336
146999,17836,940,-352
148000,17880,912,-204
149000,17880,916,-256
149999,17892,976,-312
151000,17904,928,-308
152000,17844,856,-392
152999,17872,912,-392
154000,17900,912,-384
155000,17820,916,-396
155999,17768,880,-400
157000,17788,896,-368
158000,17776,956,-352
158999,17864,908,-332
160000,17760,960,-440
161000,17752,944,-468
161999,17912,952,-304
163000,17860,984,-392
164000,17840,900,-496
164999,17884,928,-400
166000,17772,888,-460
167000,17748,868,-336
168000,17736,912,-396
169000,17796,824,-444
170000,17772,836,-436
170999,17660,892,-340
172000,17720,892,-404
173000,17684,964,-344
174000,17736,916,-268
174999,17700,868,-404
176000,17752,888,-356
177000,17700,824,-356
177999,17628,908,-296
179000,17580,816,-84
180000,17612,940,-256
180999,17692,856,-244
182000,17660,916,-168
183000,17688,932,-248
183999,17648,948,-280
185000,17592,868,-232
186000,17632,860,-284
186999,17584,932,-320
188000,17516,860,-192
189000,17564,876,-168
189999,17612,920,-364
191000,17644,900,-488
192000,17564,880,-296
192999,17608,960,-208
194000,17712,944,-256
195000,17552,940,-232
195999,17504,936,-236
197000,17660,844,-320
198000,17580,832,-248
198999,17572,852,-124
200000,17504,852,-120
201000,17480,928,-280
201999,17420,992,-208
203000,17400,904,-252
204000,17536,960,-336
204999,17520,924,-364
206000,17468,924,-300
207000,17468,928,-160
207999,17360,912,-260
209000,17336,864,-156
210000,17464,896,-228
210999,17524,964,-396
212000,17396,840,-304
213000,17364,800,-248
213999,17500,896,-180
215000,17540,928,-212
216000,17456,924,-188
216999,17468,884,-160
218000,17456,840,-404
219000,17444,940,-260
219999,17528,900,-204
221000,17488,892,-216
222000,17472,920,-196
222999,17400,960,-196
224000,17416,912,-128
225000,17464,948,-44
225999,17392,908,-164
227000,17460,924,-300
228000,17456,904,-156
228999,17368,884,-136
230000,17480,916,-256
231000,17456,944,-224
231999,17336,988,-32
233000,17340,912,-60
234000,17356,892,-192
234999,17396,948,-276
236000,17416,844,-48
237000,17336,860,-164
237999,17344,884,-68
239000,17304,872,32
240000,17328,880,48
241000,17424,900,-96
242000,17500,860,-196
243000,17420,852,8
244000,17424,888,-8
244999,17368,920,-168
246000,17332,924,-168
247000,17272,872,-128
247999,17228,868,-84
249000,17280,940,-32
250000,17308,908,44
251000,17348,984,-88
252000,17376,916,-164
253000,17328,888,-104
253999,17360,904,-16
255000,17340,912,-24
256000,17304,876,60
256999,17312,920,116
258000,17376,940,160
259000,17368,932,60
260000,17380,980,96
261000,17376,908,160
262000,17348,904,88
263000,17388,908,20
264000,17324,868,228
264999,17352,816,208
266000,17332,880,-32
267000,17416,936,-92
268000,17336,940,12
269000,17376,908,24
270000,17388,964,16
271000,17340,904,-44
272000,17360,884,92
273000,17288,936,224
274000,17328,896,108
275000,17272,892,232
276000,17364,892,156
277000,17424,848,216
278000,17368,924,144
279000,17368,896,188
280000,17384,916,172
281000,17444,884,120
282000,17476,904,52
283000,17440,860,116
284000,17476,808,204
285000,17320,956,240
286000,17360,964,240
287000,17348,908,140
288000,17404,956,236
288999,17360,864,220
290000,17384,872,240
291000,17468,832,192
292000,17428,844,172
293000,17476,960,252
294001,17384,844,372
295000,17372,824,324
295999,17492,776,304
297000,17488,824,276
298000,17452,964,300
299000,17420,920,396
300000,17408,888,352
301000,17432,936,372
302000,17516,880,336
303000,17512,836,324
304000,17492,888,320
305000,17492,952,264
306000,17460,856,352
307000,17500,840,352
308000,17444,864,304
309000,17432,924,360
310000,17536,776,432
311000,17608,912,432
312000,17552,908,400
313000,17492,864,444
314000,17572,908,496
315000,17564,944,432
316000,17512,888,504
317000,17496,944,596
318000,17560,936,500
319000,17540,904,564
320000,17568,896,500
321000,17544,920,572
322000,17516,912,564
323000,17536,904,568
324000,17568,988,420
325000,17596,916,404
326000,17544,824,504
327000,17504,760,444
327999,17664,768,456
329000,17680,860,520
330000,17724,876,580
331000,17620,956,576
332000,17596,892,504
332999,17612,912,564
334000,17716,944,660
335000,17640,924,688
336000,17628,880,632
336999,17724,944,688
338000,17644,932,664
339000,17620,848,684
340000,17708,852,636
341000,17700,900,700
342000,17588,852,684
343000,17700,848,652
344000,17604,800,596
345000,17568,852,736
346000,17620,908,816
347000,17632,860,712
348000,17584,924,680
349000,17628,932,844
350000,17676,920,652
351000,17640,900,764
351999,17632,932,716
353000,17584,916,788
354000,17700,896,804
355000,17596,892,896
355999,17648,976,968
357000,17660,924,840
358000,17636,840,936
359000,17560,956,916
359999,17604,868,796
361000,17708,876,1036
362000,17732,936,736
363000,17656,928,884
363999,17548,920,1064
365000,17640,956,900
366000,17684,996,844
367000,17540,952,1016
367999,17684,872,1020
369000,17732,912,1116
370000,17620,888,1056
371000,17596,872,1016
371999,17676,888,960
373000,17676,936,1136
374000,17556,916,1176
375000,17532,976,1080
375999,17608,944,984
377000,17560,852,924
378000,17644,848,952
379000,17672,864,888
380000,17580,896,1016
380999,17628,888,1028
382000,17584,888,1052
383000,17604,936,1096
384000,17644,940,1136
384999,17612,936,1136
386000,17736,896,1040
387000,17628,820,1068
388000,17616,860,1108
389000,17668,864,1180
390000,17572,876,1120
391000,17596,904,1188
392000,17668,968,1196
393000,17636,964,1288
394000,17580,964,1236
395000,17528,940,1176
396000,17504,864,1144
397000,17632,804,1168
398000,17712,784,1252
399000,17668,852,1392
400000,17528,908,1256
400999,17600,880,1200
402000,17728,920,1192
403000,17696,996,1408
404000,17556,940,1364
404999,17564,884,1140
406000,17540,904,1212
407000,17516,896,1292
408000,17568,868,1316
409000,17620,848,1288
410000,17588,804,1344
411000,17528,896,1356
412000,17620,832,1344
413000,17496,896,1432
414000,17492,904,1400
415000,17480,924,1448
416000,17460,876,1456
417000,17472,780,1624
418000,17456,896,1524
419000,17520,832,1428
420000,17496,872,1492
421000,17540,912,1380
422000,17492,912,1488
423000,17452,836,1560
424000,17436,844,1420
425000,17508,984,1496
426000,17456,972,1592
427000,17416,856,1472
428000,17356,836,1588
428999,17452,876,1584
430000,17420,968,1592
431000,17340,808,1624
432000,17272,840,1516
432999,17332,852,1588
434000,17416,876,1540
435000,17488,940,1600
436000,17416,904,1580
437000,17300,912,1548
438000,17352,852,1744
439000,17340,828,1624
440000,17276,824,1552
440999,17244,912,1600
441999,17296,852,1648
443000,17212,796,1636
444000,17272,888,1632
445000,17320,880,1544
446000,17332,856,1600
447000,17260,920,1652
448000,17256,900,1680
449000,17272,812,1688
449999,17224,888,1684
451000,17268,820,1676
452000,17264,888,1716
452999,17272,848,1748
454000,17176,860,1696
455000,17160,940,1760
456000,17132,992,1728
456999,17084,916,1688
458000,17100,992,1524
459000,17132,848,1676
459999,17084,852,1760
461000,17044,824,1720
462000,17164,788,1728
463000,17152,884,1864
464000,17044,896,1828
465000,17084,820,1836
466000,17020,912,1920
467000,17088,920,1948
467999,16992,796,1804
469000,17000,884,1820
470000,17000,916,1836
471000,17112,908,1928
471999,17040,948,1916
473000,16884,936,1872
474000,16920,860,1912
475000,16928,716,2016
476000,16980,764,1948
477000,17052,948,1864
478000,16956,968,1852
478999,17000,912,1880
479999,16836,896,1936
481000,16840,916,1940
482000,16944,864,1920
483000,16984,876,1888
483999,16872,860,2004
485000,16880,836,2052
486000,16980,864,1976
486999,16932,836,2040
488000,16812,864,2080
489000,16820,912,1944
489999,16744,896,1900
491000,16776,884,2048
492000,16840,856,1868
493000,16748,896,1928
494000,16664,872,1936
495000,16708,884,1860
496000,16700,864,1844
497000,16740,900,2020
498000,16760,932,1964
498999,16636,788,2064
499999,16600,776,2208
501000,16648,816,2036
502000,16788,772,1956
503000,16664,832,2068
504000,16644,824,2132
505000,16600,860,2052
506000,16708,800,2076
507000,16708,820,2008
508000,16596,808,1976
509000,16564,748,2044
510000,16620,844,2056
511000,16696,872,2112
512000,16620,880,2080
513000,16568,800,2156
514000,16508,832,2304
515000,16508,876,2180
516000,16528,780,2144
517000,16564,880,2132
518000,16508,932,2128
519000,16496,852,2192
520000,16576,864,2232
521000,16504,708,2328
522000,16516,800,2172
523000,16420,780,2144
524000,16472,744,2160
525000,16584,836,2124
526000,16444,784,2360
527000,16464,856,2272
528000,16432,788,2188
529000,16444,760,2316
530000,16460,808,2288
531000,16448,816,2336
532000,16472,840,2176
533000,16412,784,2104
534000,16424,748,2120
535000,16428,796,2264
536000,16404,780,2180
537000,16372,740,2352
538000,16440,732,2460
538999,16404,728,2348
540000,16428,704,2408
541000,16432,752,2308
542000,16372,700,2224
542999,16372,680,2184
544000,16384,700,2280
545000,16396,740,2444
546000,16436,740,2468
547000,16316,768,2448
548000,16292,772,2356
549000,16312,768,2440
549999,16380,732,2352
551000,16352,816,2308
552000,16324,764,2356
552999,16344,684,2360
554000,16348,764,2468
555000,16292,820,2388
555999,16304,864,2592
557000,16164,884,2528
558000,16240,788,2516
558999,16276,832,2420
560000,16216,800,2440
561000,16264,792,2584
561999,16260,748,2456
563000,16236,784,2348
564000,16244,712,2452
564999,16264,824,2440
566000,16284,828,2416
567000,16300,736,2488
567999,16248,732,2472
569000,16372,756,2488
570000,16256,720,2700
570999,16216,756,2560
572000,16184,724,2528
573000,16168,660,2496
573999,16272,740,2532
575000,16304,684,2652
576000,16256,808,2576
577000,16224,792,2460
578000,16244,772,2564
579000,16168,784,2620
579999,16272,808,2596
581000,16308,788,2540
582000,16284,828,2572
583000,16224,812,2560
584000,16136,720,2576
585000,16112,668,2556
586000,16248,652,2572
587000,16252,756,2620
588000,16224,748,2700
588999,16216,808,2660
590000,16248,720,2724
591000,16196,708,2732
591999,16172,792,2672
593000,16260,812,2628
594000,16284,856,2712
595000,16192,700,2624
595999,16160,652,2656
597000,16328,592,2664
598000,16212,712,2644
599000,16300,680,2524
599999,16352,764,2592
601000,16188,732,2672
602000,16216,720,2760
603000,16276,696,2732
603999,16228,704,2844
605000,16248,720,2664
606000,16304,688,2732
606999,16332,828,2828
608000,16312,832,2724
609000,16200,768,2704
610000,16280,748,2824
610999,16284,664,2816
612000,16316,688,2948
613000,16400,732,2964
614000,16340,748,2912
615000,16288,716,2908
616000,16260,720,2836
616999,16280,684,2900
618000,16272,740,2768
619000,16292,708,2840
620000,16284,712,2828
620999,16352,800,2864
622000,16316,688,2904
623000,16304,600,2816
623999,16280,720,2832
625000,16308,672,2856
626000,16472,740,2928
627000,16432,752,2972
628000,16364,672,2968
629000,16272,744,2860
630000,16336,712,3060
630999,16368,652,3020
632000,16436,668,2920
633000,16400,700,2964
634000,16396,720,2980
635000,16352,716,2988
636000,16320,688,2996
637000,16356,600,3232
637999,16464,700,3108
638999,16524,692,2944
640000,16468,704,2936
641000,16356,724,3008
642000,16404,756,3000
642999,16380,668,3024
644000,16372,732,2924
645000,16340,732,3100
646000,16392,716,3208
647000,16404,660,3216
648000,16404,704,3156
649000,16452,752,3164
650000,16392,760,3268
651000,16376,796,3180
652000,16460,824,3092
653000,16492,860,3004
653999,16436,712,3060
655000,16412,676,2984
656000,16500,748,2988
656999,16524,792,2972
658000,16492,680,3144
659000,16548,768,3076
660000,16484,712,3084
661000,16512,792,3156
662000,16480,748,3300
663000,16456,736,3220
664000,16456,708,3252
665000,16520,772,3248
666000,16572,772,3200
667000,16516,752,3228
668000,16448,720,3184
669000,16512,756,3260
670000,16552,760,3192
671000,16604,816,3076
672000,16580,808,3092
673000,16484,792,3236
674000,16508,780,3188
674999,16480,776,3284
676000,16516,824,3304
677000,16504,744,3272
678000,16532,820,3268
679000,16536,684,3300
680000,16488,744,3196
681000,16496,784,3248
682000,16552,784,3232
683000,16496,700,3344
684000,16508,724,3316
685000,16612,780,3388
686000,16696,804,3200
687000,16664,724,3152
688000,16560,764,3152
689000,16512,796,3220
690000,16560,828,3204
691000,16628,828,3156
692000,16524,920,3244
693000,16500,824,3240
694000,16636,816,3332
695000,16516,808,3452
696000,16572,872,3284
697000,16556,784,3220
698000,16568,732,3400
698999,16548,760,3428
700000,16556,864,3328
701000,16584,796,3368
702000,16568,864,3384
703000,16624,764,3444
704000,16612,836,3404
705000,16604,808,3284
705999,16636,796,3512
707000,16624,796,3428
708000,16620,752,3376
709000,16612,776,3440
710000,16660,792,3556
711000,16592,756,3432
712000,16620,700,3464
713000,16572,716,3476
714000,16604,752,3388
714999,16560,760,3352
716000,16544,792,3384
717000,16576,808,3520
718000,16588,816,3448
