micros,ax,ay,az
0,0,0,0
1000,0,0,0
2000,0,0,0
3000,0,0,0
4000,0,0,0
4999,0,0,0
5999,0,0,0
7000,0,0,0
7999,0,0,0
9000,0,0,0
10000,0,0,0
10999,0,0,0
11999,0,0,0
12999,0,0,0
14001,0,0,0
15000,0,0,0
16000,0,0,0
17000,0,0,0
18000,0,0,0
18999,0,0,0
19999,0,0,0
20999,0,0,0
21999,0,0,0
22999,0,0,0
24001,0,0,0
25000,0,0,0
26000,0,0,0
27000,0,0,0
28000,0,0,0
29000,0,0,0
30000,0,0,0
31000,0,0,0
31999,0,0,0
32999,0,0,0
34001,0,0,0
35000,0,0,0
36000,0,0,0
37000,0,0,0
38000,0,0,0
39000,0,0,0
39999,0,0,0
40999,0,0,0
42000,0,0,0
43000,0,0,0
44000,0,0,0
45000,0,0,0
45999,0,0,0
47000,0,0,0
47999,0,0,0
49000,0,0,0
50001,0,0,0
51000,0,0,0
52000,0,0,0
53000,0,0,0
54000,0,0,0
55000,0,0,0
55999,0,0,0
57000,0,0,0
57999,0,0,0
58999,0,0,0
60000,0,0,0
60999,0,0,0
62000,0,0,0
63000,0,0,0
64000,0,0,0
65000,0,0,0
65999,0,0,0
66999,0,0,0
67999,0,0,0
69000,0,0,0
69999,0,0,0
71000,0,0,0
72001,0,0,0
73000,0,0,0
74000,0,0,0
75000,0,0,0
76001,0,0,0
77000,0,0,0
78000,0,0,0
79000,0,0,0
80000,0,0,0
81000,0,0,0
82000,0,0,0
83000,0,0,0
84000,0,0,0
85000,0,0,0
86000,0,0,0
87000,0,0,0
88000,0,0,0
89000,0,0,0
90000,0,0,0
91000,0,0,0
92000,0,0,0
93000,0,0,0
94000,0,0,0
95000,0,0,0
96000,0,0,0
97000,0,0,0
98000,0,0,0
99000,0,0,0
100000,0,0,0
101000,0,0,0
102000,0,0,0
103000,0,0,0
104000,0,0,0
105000,0,0,0
106000,0,0,0
107000,0,0,0
108000,0,0,0
109000,0,0,0
110000,0,0,0
111000,0,0,0
112000,0,0,0
113000,0,0,0
114000,0,0,0
115000,0,0,0
116000,0,0,0
117000,0,0,0
118000,0,0,0
119000,0,0,0
120000,0,0,0
121000,0,0,0
122000,0,0,0
123000,0,0,0
124000,0,0,0
125000,0,0,0
